concept_id, concept_name,concept_rename
ucf101_1,CuttingInKitchen,cutting_in_kitchen
ucf101_2,PullUps,pull_ups
ucf101_3,Punch,punch
ucf101_4,HandstandWalking,handstand_walking
ucf101_5,PushUps,push_ups
ucf101_6,HammerThrow,hammer_throw
ucf101_7,Rafting,rafting
ucf101_8,CleanAndJerk,clean_and_jerk
ucf101_9,RockClimbingIndoor,rock_climbing_indoor
ucf101_10,HandstandPushups,handstand_pushups
ucf101_11,RopeClimbing,rope_climbing
ucf101_12,Rowing,rowing
ucf101_13,HighJump,high_jump
ucf101_14,SalsaSpin,salsa_spin
ucf101_15,HeadMassage,head_massage
ucf101_16,ShavingBeard,shaving_beard
ucf101_17,HorseRace,horse_race
ucf101_18,Shotput,shotput
ucf101_19,HorseRiding,horse_riding
ucf101_20,SkateBoarding,skate_boarding
ucf101_21,Skiing,skiing
ucf101_22,Skijet,skijet
ucf101_23,HulaHoop,hula_hoop
ucf101_24,SkyDiving,sky_diving
ucf101_25,IceDancing,ice_dancing
ucf101_26,SoccerJuggling,soccer_juggling
ucf101_27,JavelinThrow,javelin_throw
ucf101_28,SoccerPenalty,soccer_penalty
ucf101_29,JugglingBalls,juggling_balls
ucf101_30,StillRings,still_rings
ucf101_31,JumpingJack,jumping_jack
ucf101_32,SumoWrestling,sumo_wrestling
ucf101_33,JumpRope,jump_rope
ucf101_34,Surfing,surfing
ucf101_35,Swing,swinging
ucf101_36,BrushingTeeth,brushing_teeth
ucf101_37,TableTennisShot,table_tennis_shot
ucf101_38,TaiChi,tai_chi
ucf101_39,Kayaking,kayaking
ucf101_40,TennisSwing,tennis_swing
ucf101_41,Knitting,knitting
ucf101_42,ThrowDiscus,throw_discus
ucf101_43,CliffDiving,cliff_diving
ucf101_44,TrampolineJumping,trampoline_jumping
ucf101_45,Typing,typing
ucf101_46,LongJump,long_jump
ucf101_47,UnevenBars,uneven_bars
ucf101_48,FrontCrawl,front_crawl
ucf101_49,VolleyballSpiking,volleyball_spiking
ucf101_50,Lunges,lunges
ucf101_51,WalkingWithDog,walking_with_dog
ucf101_52,MilitaryParade,military_parade
ucf101_53,WallPushups,wall_pushups
ucf101_54,Mixing,mixing
ucf101_55,WritingOnBoard,writing_on_board
ucf101_56,YoYo,yo_yo
ucf101_57,MoppingFloor,mopping_floor
ucf101_58,ApplyEyeMakeup,apply_eye_makeup
ucf101_59,Nunchucks,nunchuck
ucf101_60,ApplyLipstick,apply_lipstick
ucf101_61,ParallelBars,parallel_bars
ucf101_62,Archery,archery
ucf101_63,PizzaTossing,pizza_tossing
ucf101_64,BabyCrawling,baby_crawling
ucf101_65,PlayingCello,playing_cello
ucf101_66,BalanceBeam,balance_beam
ucf101_67,PlayingDaf,playing_daf
ucf101_68,BandMarching,band_marching
ucf101_69,PlayingDhol,playing_dhol
ucf101_70,BaseballPitch,baseball_pitch
ucf101_71,PlayingFlute,playing_flute
ucf101_72,Basketball,basketball
ucf101_73,PlayingGuitar,playing_guitar
ucf101_74,BasketballDunk,basketball_dunk
ucf101_75,PlayingPiano,playing_piano
ucf101_76,BenchPress,bench_press
ucf101_77,Biking,biking
ucf101_78,PlayingSitar,playing_sitar
ucf101_79,Billiards,billiards
ucf101_80,PlayingTabla,playing_tabla
ucf101_81,BlowDryHair,blow_dry_hair
ucf101_82,PlayingViolin,playing_violin
ucf101_83,BlowingCandles,blowing_candles
ucf101_84,CricketBowling,cricket_bowling
ucf101_85,BodyWeightSquats,body_weight_squats
ucf101_86,PoleVault,pole_vault
ucf101_87,Bowling,bowling
ucf101_88,CricketShot,cricket_shot
ucf101_89,BoxingPunchingBag,boxing_punching_bag
ucf101_90,PommelHorse,pommel_horse
ucf101_91,BoxingSpeedBag,boxing_speed_bag
ucf101_92,BreastStroke,breast_stroke
ucf101_93,Diving,diving
ucf101_94,Drumming,drumming
ucf101_95,Fencing,fencing
ucf101_96,GolfSwing,golf_swing
ucf101_97,FieldHockeyPenalty,field_hockey_penalty
ucf101_98,Haircut,cutting_hair
ucf101_99,FloorGymnastics,floor_gymnastics
ucf101_100,FrisbeeCatch,frisbee_catch
ucf101_101,Hammering,hammering
sin346_1,3_Or_More_People,3_or_more_people
sin346_2,Actor,actor
sin346_3,Adult,adult
sin346_4,Adult_Female_Human,adult_female_human
sin346_5,Adult_Male_Human,adult_male_human
sin346_6,Advocate,advocate
sin346_7,Airplane,airplane
sin346_8,Airplane_Flying,airplane_flying
sin346_9,Airplane_Landing,airplane_landing
sin346_10,Airplane_Takeoff,airplane_takeoff
sin346_11,Airport_Or_Airfield,airport_or_airfield
sin346_12,Amateur_Video,amateur_video
sin346_13,Anchorperson,anchor_person
sin346_14,Anger,anger
sin346_15,Animal,animal
sin346_16,Animal_Pens_And_Cages,animal_pen_and_cage
sin346_17,Animation_Cartoon,animation_cartoon
sin346_18,Apartment_Complex,apartment_complex
sin346_19,Apartments,apartment
sin346_20,Armed_Person,armed_person
sin346_21,Armored_Vehicles,armored_vehicle
sin346_22,Arthropod,arthropod
sin346_23,Asian_People,asian_person
sin346_24,Athlete,athlete
sin346_25,Attached_Body_Parts,attached_body_part
sin346_26,Baby,baby
sin346_27,Background_Static,background_static
sin346_28,Bar_Pub,bar_pub
sin346_29,Baseball,baseball
sin346_30,Basketball,basketball
sin346_31,Beach,beach
sin346_32,Beards,beard
sin346_33,Bicycles,bicycle
sin346_34,Bicycling,bicycling
sin346_35,Birds,bird
sin346_36,Black_Frame,black_frame
sin346_37,Blank_Frame,blank_frame
sin346_38,Boat_Ship,ship
sin346_39,Body_Parts,body_part
sin346_40,Bomber_Bombing,bomber_bombing
sin346_41,Boredom,boredom
sin346_42,Boy,boy
sin346_43,Bridges,bridge
sin346_44,Building,building
sin346_45,Bus,bus
sin346_46,Canoe,canoe
sin346_47,Car,car
sin346_48,Car_Crash,car_crash
sin346_49,Carnivore,carnivore
sin346_50,Car_Racing,car_racing
sin346_51,Cats,cat
sin346_52,Cattle,cattle
sin346_53,Caucasians,caucasian_person
sin346_54,Celebrity_Entertainment,celebrity_entertainment
sin346_55,Cell_Phones,cell_phone
sin346_56,Cetacean,sea_mammal
sin346_57,Chair,chair
sin346_58,Charts,chart
sin346_59,Cheering,cheering
sin346_60,Child,child
sin346_61,Church,church
sin346_62,Cigar_Boats,cigar_boat
sin346_63,City,city
sin346_64,Cityscape,cityscape
sin346_65,Civilian_Person,civilian_person
sin346_66,Classroom,classroom
sin346_67,Clearing,clearing
sin346_68,Clouds,cloud
sin346_69,Colin_Powell,colin_powell
sin346_70,Commentator_Or_Studio_Expert,commentator
sin346_71,Commercial_Advertisement,commercial_advertisement
sin346_72,Computer_Or_Television_Screens,computer_or_television_screen
sin346_73,Computers,computer
sin346_74,Conference_Buildings,conference_buildings
sin346_75,Conference_Room,conference_room
sin346_76,Construction_Site,construction_site
sin346_77,Construction_Vehicles,construction_vehicles
sin346_78,Construction_Worker,construction_worker
sin346_79,Corporate_Leader,corporate_leader
sin346_80,Court,court
sin346_81,Cows,cattle
sin346_82,Crane_Vehicle,crane_vehicle
sin346_83,Crowd,crowd
sin346_84,Crustacean,crustacean
sin346_85,Cul-de-Sac,cul-de-sac
sin346_86,Dancing,dancing
sin346_87,Dark-skinned_People,dark-skinned_person
sin346_88,Daytime_Outdoor,daytime_outdoor
sin346_89,Demonstration_Or_Protest,demonstration_or_protest
sin346_90,Desert,desert
sin346_91,Dining_Room,dining_room
sin346_92,Disgust,disgust
sin346_93,Dogs,dog
sin346_94,Dolphin,dolphin
sin346_95,Domesticated_Animal,domestic_animal
sin346_96,Door_Opening,door_opening
sin346_97,Doorway,doorway
sin346_98,Dresses,dress
sin346_99,Dresses_Of_Women,dress_of_woman
sin346_100,Driver,driver
sin346_101,Earthquake,earthquake
sin346_102,Eaters,eater
sin346_103,Election_Campaign,election_campaign
sin346_104,Election_Campaign_Address,election_campaign_address
sin346_105,Election_Campaign_Convention,election_campaign_convention
sin346_106,Election_Campaign_Debate,election_campaign_debate
sin346_107,Election_Campaign_Greeting,election_campaign_greeting
sin346_108,Emergency_Vehicles,emergency_vehicle
sin346_109,Entertainment,entertaining
sin346_110,Eukaryotic_Organism,living_organism
sin346_111,Event,event
sin346_112,Exiting_A_Vehicle,exiting_a_vehicle
sin346_113,Exiting_Car,exiting_car
sin346_114,Explosion_Fire,explosion_fire
sin346_115,Face,face
sin346_116,Factory,factory
sin346_117,Factory_Worker,factory_worker
sin346_118,Fear,fear
sin346_119,Female_Anchor,female_anchor
sin346_120,Female_Human_Face,female_human_face
sin346_121,Female-Human-Face-Closeup,female-human-face-closeup
sin346_122,Female_News_Subject,female_news_subject
sin346_123,Female_Person,female_person
sin346_124,Female_Reporter,female_reporter
sin346_125,Fields,field
sin346_126,Fighter_Combat,fighter_combat
sin346_127,Fight-Physical,fight-physical
